date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,cap_binding,n_long,n_short
2010-01-04,-9.370926550179895e-05,4.8214743175978505e-06,1.4464422952793549e-05,3.826566918728452e-07,-0.0001133778194640632,0.096429486351957,0.0482147431759785,True,17,17
2010-01-05,0.00021923520699937394,8.950557744211651e-06,2.685167323263495e-05,7.103617257310832e-07,0.00018272261429679625,0.17901115488423303,0.08950557744211651,True,17,17
2010-01-06,-0.000115899691785042,7.392937257281501e-06,2.21788117718445e-05,5.867410521651985e-07,-0.00014605818186633318,0.14785874514563002,0.07392937257281501,True,16,16
2010-01-07,-0.0004982819553326161,2.4035445148658704e-05,7.21063354459761e-05,1.9075750117983098e-06,-0.0005963313109390491,0.48070890297317403,0.24035445148658702,True,17,17
2010-01-08,-6.273186726103288e-05,4.822315703081851e-06,1.446694710924555e-05,3.8272346849855947e-07,-8.240385354185883e-05,0.096446314061637,0.0482231570308185,True,17,17
2010-01-11,0.0005826664800754228,8.270312750218151e-06,2.481093825065445e-05,6.563740277950913e-07,0.000548928855046755,0.165406255004363,0.0827031275021815,True,17,17
2010-01-12,-0.00025455046548414817,8.9121930983577e-06,2.6736579295073092e-05,8.657748863109285e-07,-0.0002910650127638899,0.17824386196715397,0.08912193098357699,True,17,17
2010-01-13,1.8619737400511277e-05,7.4110563048678e-06,2.2233168914603396e-05,3.906261571963401e-06,-1.4930749390923318e-05,0.148221126097356,0.074110563048678,True,17,17
2010-01-14,3.1998336339627815e-05,6.15375798045565e-06,1.8461273941366947e-05,4.883934905123532e-07,6.8949109272928635e-06,0.123075159609113,0.0615375798045565,True,17,17
2010-01-15,2.5220374316030197e-05,4.7416729476365995e-06,1.4225018842909797e-05,3.763232498124286e-07,5.877359275671371e-06,0.09483345895273199,0.04741672947636599,True,17,17
2010-01-19,-0.0004888796092241763,6.3532765965607e-06,1.9059829789682097e-05,5.042283013143413e-07,-0.0005147969439117335,0.127065531931214,0.063532765965607,True,17,17
2010-01-20,0.00011564540460820096,5.1403514955278e-06,1.5421054486583397e-05,4.0796440440696815e-07,9.467603422168279e-05,0.10280702991055599,0.05140351495527799,True,17,17
2010-01-21,0.00020477347331329145,8.8657234891716e-06,2.6597170467514795e-05,7.036288483469525e-07,0.0001686069505082581,0.177314469783432,0.088657234891716,True,16,16
2010-01-22,9.939741521587881e-05,7.031981851053851e-06,2.109594555316155e-05,5.580937977026865e-07,7.071139401396072e-05,0.140639637021077,0.0703198185105385,True,16,16
2010-01-25,4.588104321084585e-05,8.53187964262495e-06,2.5595638927874846e-05,6.771333049702339e-07,1.1076391335375816e-05,0.170637592852499,0.0853187964262495,True,16,16
2010-01-26,2.13888382865807e-05,6.5344025291038e-06,1.9603207587311397e-05,5.186033753256984e-07,-5.2673752051601954e-06,0.130688050582076,0.065344025291038,True,16,16
2010-01-27,-7.736393758090787e-05,7.0822610860013015e-06,2.1246783258003903e-05,5.620842131747063e-07,-0.00010625506613808778,0.14164522172002603,0.07082261086001301,True,16,16
2010-01-28,-0.00017794191833636348,6.597618355702101e-06,1.97928550671063e-05,6.041800404898346e-06,-0.0002103741921640702,0.131952367114042,0.065976183557021,True,17,17
2010-01-29,4.7105952918353035e-06,1.0410116893787051e-05,3.1230350681361145e-05,8.261997534751626e-07,-3.7756072036788056e-05,0.208202337875741,0.1041011689378705,True,17,17
2010-02-01,-0.00025935774103244113,2.1680795440012153e-05,6.504238632003644e-05,1.720698050794615e-06,-0.0003478016208432843,0.43361590880024303,0.21680795440012152,True,17,17
2010-02-02,0.00021270095172219635,9.553739628817402e-06,2.86612188864522e-05,7.582333038743968e-07,0.00017372775990305236,0.19107479257634802,0.09553739628817401,True,17,17
2010-02-03,0.000102963574599216,8.9288610206226e-06,2.6786583061867797e-05,7.086397635414762e-07,6.653949075318411e-05,0.178577220412452,0.089288610206226,True,17,17
2010-02-04,0.00020487449013503273,7.33133352733195e-06,2.1994000581995847e-05,5.818518672485674e-07,0.00017496730415845634,0.146626670546639,0.0733133352733195,True,17,17
2010-02-05,4.225004991272794e-06,3.9199403657041e-06,1.1759821097112298e-05,3.1110637823048405e-07,-1.176586284977409e-05,0.078398807314082,0.039199403657041,True,17,17
2010-02-08,-0.0007837339366307208,9.248854058779998e-06,2.7746562176339994e-05,7.340360364111109e-07,-0.0008214633889022519,0.18497708117559997,0.09248854058779998,True,17,17
