date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,cap_binding,n_long,n_short
2019-11-15,-0.00044130580201950817,9.999999999999998e-05,0.0002999999999999999,8.056272592109493e-05,-0.000921868527940603,1.9999999999999996,0.9999999999999998,True,28,28
2019-11-18,-0.0015259924784799235,9.999999999999996e-05,0.00029999999999999987,6.904225661458693e-05,-0.0019950347350945106,1.9999999999999991,0.9999999999999996,True,29,29
2019-11-19,0.0005284487293996606,0.0001,0.0003,9.250068243852697e-05,3.594804696113369e-05,2.0,1.0,True,28,28
2019-11-20,-0.00010953908714070136,0.0001,0.0003,9.838852553411119e-05,-0.0006079276126748125,2.0,1.0,True,28,28
2019-11-21,0.00222990381338311,9.999999999999996e-05,0.00029999999999999987,9.911595879733495e-05,0.0017307878545857753,1.9999999999999991,0.9999999999999996,True,28,28
2019-11-22,-0.0004791205303021173,9.999999999999999e-05,0.0002999999999999999,0.00010096579775412924,-0.0009800863280562465,1.9999999999999998,0.9999999999999999,True,28,28
2019-11-25,0.00045503700792326636,9.999999999999995e-05,0.0002999999999999998,0.00010182509650911227,-4.678808858584566e-05,1.999999999999999,0.9999999999999994,True,28,28
2019-11-26,-0.0010440303704072366,9.999999999999998e-05,0.0002999999999999999,6.976077922265477e-05,-0.0015137911496298914,1.9999999999999996,0.9999999999999998,True,28,28
2019-11-27,0.00026389680560035857,9.999999999999998e-05,0.0002999999999999999,9.290025513878416e-05,-0.0002290034495384255,1.9999999999999996,0.9999999999999998,True,29,29
2019-11-29,0.0007319701983529571,9.999999999999998e-05,0.0002999999999999999,7.287739676388115e-05,0.0002590928015890761,1.9999999999999996,0.9999999999999998,True,29,29
2019-12-02,0.004001086740885688,0.0001,0.0003,8.237560654159677e-05,0.0035187111343440913,2.0,1.0,True,29,29
2019-12-03,-0.004456005053294504,0.0001,0.0003,8.570195405989661e-05,-0.004941707007354401,2.0,1.0,True,28,28
2019-12-04,0.00020368249172252658,9.999999999999998e-05,0.0002999999999999999,8.426433942001089e-05,-0.0002805818476974842,1.9999999999999996,0.9999999999999998,True,28,28
2019-12-05,0.0025614401702887396,9.999999999999999e-05,0.0002999999999999999,9.050965241514655e-05,0.0020709305178735933,1.9999999999999998,0.9999999999999999,True,28,28
2019-12-06,-0.0008246011732912469,9.999999999999999e-05,0.0002999999999999999,7.663060404380243e-05,-0.0013012317773350493,1.9999999999999998,0.9999999999999999,True,28,28
2019-12-09,0.0013542296158013183,0.0001,0.0003,7.603771217981494e-05,0.0008781919036215034,2.0,1.0,True,28,28
2019-12-10,0.0015313721639495527,0.0001,0.0003,9.169525079096121e-05,0.0010396769131585915,2.0,1.0,True,28,28
2019-12-11,-0.00014585629031924996,9.999999999999998e-05,0.0002999999999999999,8.630281620749917e-05,-0.0006321591065267491,1.9999999999999996,0.9999999999999998,True,28,28
2019-12-12,0.001910478492344277,9.999999999999998e-05,0.0002999999999999999,0.00010292282190679532,0.0014075556704374818,1.9999999999999996,0.9999999999999998,True,28,28
2019-12-13,-0.0029110231790027384,9.999999999999998e-05,0.0002999999999999999,9.421601711822247e-05,-0.0034052391961209606,1.9999999999999996,0.9999999999999998,True,28,28
2019-12-16,0.00012998456212605554,9.999999999999999e-05,0.0002999999999999999,8.619138972991048e-05,-0.0003562068276038549,1.9999999999999998,0.9999999999999999,True,28,28
2019-12-17,0.0007551191325728384,9.999999999999998e-05,0.0002999999999999999,8.030632132959764e-05,0.0002748128112432409,1.9999999999999996,0.9999999999999998,True,28,28
2019-12-18,-0.0003425184715441994,0.0001,0.0003,0.00010622554209471687,-0.0008487440136389162,2.0,1.0,True,28,28
2019-12-19,0.0001265510539765753,9.999999999999998e-05,0.0002999999999999999,8.971321332710765e-05,-0.00036316215935053227,1.9999999999999996,0.9999999999999998,True,29,29
2019-12-20,0.00023626521432589377,9.999999999999996e-05,0.00029999999999999987,0.00010089934683458292,-0.00026463413250868895,1.9999999999999991,0.9999999999999996,True,29,29
2019-12-23,-0.00023358575729532006,9.999999999999998e-05,0.0002999999999999999,8.292096656042265e-05,-0.0007165067238557426,1.9999999999999996,0.9999999999999998,True,29,29
2019-12-24,-0.0015622886124873954,9.999999999999999e-05,0.0002999999999999999,8.807171910220395e-05,-0.0020503603315895993,1.9999999999999998,0.9999999999999999,True,29,29
2019-12-26,-0.000342341681014133,9.999999999999999e-05,0.0002999999999999999,7.060423581364287e-05,-0.0008129459168277758,1.9999999999999998,0.9999999999999999,True,29,29
2019-12-27,0.0004301271089301742,0.0001,0.0003,8.467246402512992e-05,-5.4545355094955664e-05,2.0,1.0,True,29,29
2019-12-30,0.00011832169554540367,9.999999999999998e-05,0.00029999999999999987,8.888238821606266e-05,-0.0003705606926706588,1.9999999999999993,0.9999999999999997,True,29,29
2019-12-31,-0.0002976994147267662,0.0001,0.0003,7.282206766902319e-05,-0.0007705214823957894,2.0,1.0,True,29,29
2020-01-02,-0.0022946500448274214,9.999999999999996e-05,0.00029999999999999987,8.831679818964079e-05,-0.002782966843017062,1.9999999999999991,0.9999999999999996,True,29,29
2020-01-03,0.005095931179535172,9.999999999999998e-05,0.0002999999999999999,9.535786293803435e-05,0.0046005733165971376,1.9999999999999996,0.9999999999999998,True,29,29
2020-01-06,-0.0030157561105308315,9.999999999999999e-05,0.0002999999999999999,9.047829882521162e-05,-0.003506234409356043,1.9999999999999998,0.9999999999999999,True,29,29
2020-01-07,-3.883552781644634e-05,9.999999999999996e-05,0.00029999999999999987,0.00011955151814072731,-0.0005583870459571735,1.9999999999999991,0.9999999999999996,True,29,29
2020-01-08,-0.0012776238189585486,9.999999999999998e-05,0.0002999999999999999,7.377181137089003e-05,-0.0017513956303294386,1.9999999999999996,0.9999999999999998,True,29,29
2020-01-09,0.0013672410442342015,0.0001,0.0003,7.667721750116633e-05,0.0008905638267330353,2.0,1.0,True,29,29
2020-01-10,0.0006027563117936773,0.0001,0.0003,8.499944644474074e-05,0.00011775686534893657,2.0,1.0,True,29,29
2020-01-13,0.0006666962546070626,9.999999999999998e-05,0.0002999999999999999,0.0001100800344191221,0.00015661622018794063,1.9999999999999996,0.9999999999999998,True,29,29
2020-01-14,-0.0009330779434009791,9.999999999999998e-05,0.0002999999999999999,0.00010447860651116064,-0.0014375565499121397,1.9999999999999996,0.9999999999999998,True,29,29
