date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,full_gross_exposure,cap_binding,n_long,n_short
2010-01-04,-0.001874185310035979,9.6429486351957e-05,0.00028928845905587097,7.653133837456903e-06,-0.002267556389281264,1.9285897270391401,0.9642948635195701,False,True,17,17
2010-01-05,0.0018198858709858755,9.999999999999998e-05,0.0002999999999999999,7.936507936507934e-06,0.0014119493630493675,1.9999999999999996,0.9999999999999998,True,True,17,17
2010-01-06,4.3533748381327725e-05,0.0001,0.0003,7.936507936507934e-06,-0.0003644027595551802,2.0,1.0,True,True,16,16
2010-01-07,-0.0013954895013074046,0.0001,0.0003,7.936507936507936e-06,-0.0018034260092439126,2.0,1.0,True,True,17,17
2010-01-08,-0.0012546373452206573,9.6446314061637e-05,0.00028933894218491097,7.65446936997119e-06,-0.0016480770708371764,1.92892628123274,0.96446314061637,False,True,17,17
2010-01-11,0.005253345519520909,0.0001,0.0003,7.936507936507936e-06,0.004845409011584401,2.0,1.0,True,True,17,17
2010-01-12,-0.0025263016159192886,9.999999999999999e-05,0.0002999999999999999,1.110566741136508e-05,-0.0029374072833306536,1.9999999999999998,0.9999999999999999,True,True,17,17
2010-01-13,0.000399584582855365,0.0001,0.0003,5.898986394031722e-05,-5.9405281084952166e-05,2.0,1.0,True,True,17,17
2010-01-14,0.00020661713439583352,9.999999999999998e-05,0.0002999999999999999,7.936507936507934e-06,-0.00020131937354067432,1.9999999999999996,0.9999999999999998,True,True,17,17
2010-01-15,0.000504407486320604,9.483345895273198e-05,0.00028450037685819594,7.5264649962485715e-06,0.00011754718551342751,1.8966691790546397,0.9483345895273199,False,True,17,17
2010-01-19,-0.006195911596562467,0.0001,0.0003,7.936507936507936e-06,-0.006603848104498975,2.0,1.0,True,True,17,17
2010-01-20,0.0022614353072588182,9.999999999999999e-05,0.0002999999999999999,7.936507936507934e-06,0.0018534987993223105,1.9999999999999998,0.9999999999999999,True,True,17,17
2010-01-21,0.0021129960562302503,0.0001,0.0003,7.936507936507936e-06,0.0017050595482937425,2.0,1.0,True,True,16,16
2010-01-22,0.0009446345876473602,0.0001,0.0003,7.936507936507936e-06,0.0005366980797108523,2.0,1.0,True,True,16,16
2010-01-25,0.0006682089674070473,0.0001,0.0003,7.936507936507936e-06,0.0002602724594705393,2.0,1.0,True,True,16,16
2010-01-26,7.224176447440025e-05,9.999999999999998e-05,0.0002999999999999999,7.936507936507934e-06,-0.0003356947434621076,1.9999999999999996,0.9999999999999998,True,True,16,16
2010-01-27,-0.0006694915860058089,0.0001,0.0003,7.936507936507936e-06,-0.0010774280939423169,2.0,1.0,True,True,16,16
2010-01-28,-0.002591706515672168,9.999999999999998e-05,0.0002999999999999999,8.53510411983941e-05,-0.003077057556870562,1.9999999999999996,0.9999999999999998,True,True,17,17
2010-01-29,0.0006755032830362054,9.999999999999999e-05,0.0002999999999999999,7.936507936507936e-06,0.0002675667750996975,1.9999999999999998,0.9999999999999999,True,True,17,17
2010-02-01,-0.00020988883895803578,0.0001,0.0003,7.936507936507936e-06,-0.0006178253468945436,2.0,1.0,True,True,17,17
2010-02-02,0.0017314373559933138,0.0001,0.0003,7.936507936507936e-06,0.0013235008480568058,2.0,1.0,True,True,17,17
2010-02-03,0.0013247621133062036,9.999999999999999e-05,0.0002999999999999999,7.936507936507936e-06,0.0009168256053696957,1.9999999999999998,0.9999999999999999,True,True,17,17
2010-02-04,0.0016531167205483556,0.0001,0.0003,7.936507936507936e-06,0.0012451802126118476,2.0,1.0,True,True,17,17
2010-02-05,8.450009982545584e-05,7.8398807314082e-05,0.00023519642194224597,6.222127564609683e-06,-0.0002353172569954818,1.56797614628164,0.78398807314082,False,True,17,17
2010-02-08,-0.008203982624556232,0.0001,0.0003,7.936507936507936e-06,-0.008611919132492738,2.0,1.0,True,True,17,17
2010-02-09,8.848752385238692e-05,9.999999999999998e-05,0.0002999999999999999,1.0342219873841268e-05,-0.0003218546960214543,1.9999999999999996,0.9999999999999998,True,True,17,17
2010-02-10,0.0009750733978426257,8.9642622825442e-05,0.0002689278684763259,6.972990894565989e-05,0.000546772997595198,1.7928524565088397,0.8964262282544199,False,True,17,17
2010-02-11,0.003521570530437521,9.590828931153502e-05,0.000287724867934605,7.611768992978968e-06,0.0031303256041984025,1.9181657862307002,0.9590828931153501,False,True,17,17
2010-02-12,-0.0013433210674404965,0.0001,0.0003,7.936507936507934e-06,-0.0017512575753770045,2.0,1.0,True,True,17,17
