year,strategy_name,AUM,annual_return,annual_vol,annual_sharpe,max_drawdown,IC_mean,average_gross_exposure_used
2010,final_expanding_window,50000000.0,-0.13805341670658822,0.049667999270208645,-2.965468118982466,-0.1381874994426614,-0.03483020437657628,0.9915290698014608
2010,previous_champion_4y_rolling,50000000.0,-0.13805341670658822,0.049667999270208645,-2.965468118982466,-0.1381874994426614,,0.9915290698014608
2011,final_expanding_window,50000000.0,0.3085144399835391,0.06461199488500889,4.196021268562573,-0.019757702019620238,0.06222093466901521,0.999741338103496
2011,previous_champion_4y_rolling,50000000.0,0.3085144399835391,0.06461199488500889,4.196021268562573,-0.019757702019620238,,0.999741338103496
2012,final_expanding_window,50000000.0,0.1650906892888111,0.03991875503781437,3.8487547280509813,-0.01591412205030951,0.04673803526148536,1.0
2012,previous_champion_4y_rolling,50000000.0,0.1650906892888111,0.03991875503781437,3.8487547280509813,-0.01591412205030951,,1.0
2013,final_expanding_window,50000000.0,0.10917288401484582,0.03218861967480098,3.235666260668227,-0.012515363503868837,0.07220218303285028,1.0
2013,previous_champion_4y_rolling,50000000.0,0.10917288401484582,0.03218861967480098,3.235666260668227,-0.012515363503868837,,1.0
2014,final_expanding_window,50000000.0,0.013836442620233091,0.03749064493647948,0.385205831385656,-0.057670596661951845,0.042272319753262136,1.0
2014,previous_champion_4y_rolling,50000000.0,0.013836442620233091,0.03749064493647948,0.385205831385656,-0.057670596661951845,,1.0
2015,final_expanding_window,50000000.0,0.03521298040690857,0.03438240325813134,1.023714277281298,-0.018068224524823262,0.03378486949422417,1.0
2015,previous_champion_4y_rolling,50000000.0,0.021600782492137593,0.03339094966602711,0.6566643130348512,-0.022603122629000882,,1.0
2016,final_expanding_window,50000000.0,0.06246481010452509,0.042032414661152116,1.462677710141941,-0.024030920033794256,0.046007233212398246,1.0
2016,previous_champion_4y_rolling,50000000.0,0.04543356019514189,0.04398873265548413,1.0321478722444546,-0.03754895927728741,,0.9983426289359077
2017,final_expanding_window,50000000.0,0.011615260928409699,0.028867956316930076,0.4144259359718541,-0.02299555725050728,0.031339328090615945,1.0
2017,previous_champion_4y_rolling,50000000.0,-0.010492786441979485,0.028470066396684725,-0.3563251799302678,-0.03383058204926148,,1.0
2018,final_expanding_window,50000000.0,0.00047406179183084873,0.0395659196728719,0.031692118053059166,-0.03514853147913555,0.020311181024972234,1.0
