date,ic,n
2010-01-04,-0.1629939239956353,568
2010-01-05,-0.05159596392093933,567
2010-01-06,0.017320219815209877,566
2010-01-07,0.0503772983280168,573
2010-01-08,-0.2531468273195232,572
2010-01-11,0.40459659717668156,572
2010-01-12,-0.08390920908103405,580
2010-01-13,0.05221561627781049,578
2010-01-14,0.004321546335304459,577
2010-01-15,-0.011078112181223534,572
2010-01-19,-0.07252710530771302,573
2010-01-20,-0.07584451499354189,567
2010-01-21,0.020857017093350413,555
2010-01-22,0.07309240927662357,552
2010-01-25,0.06419353124039096,555
2010-01-26,0.023875823149076925,544
2010-01-27,0.008237348574306826,556
2010-01-28,-0.1565435054702229,574
2010-01-29,-0.12326097946113267,589
2010-02-01,-0.13190267325124638,591
2010-02-02,0.07464289912842412,584
2010-02-03,0.27589504328893,577
2010-02-04,-0.006543960471023337,582
2010-02-05,-0.05199614445385586,586
2010-02-08,-0.278718101441538,592
2010-02-09,0.14316514021298796,589
2010-02-10,0.0025180192135675775,594
2010-02-11,0.21261456198428835,597
2010-02-12,-0.1050477618189835,598
2010-02-16,-0.20500580677899163,592
2010-02-17,0.17059076793141226,593
2010-02-18,-0.054562260228723736,597
2010-02-19,-0.1835986601713745,602
2010-02-22,0.18912384810340363,600
2010-02-23,-0.04335960617709963,595
2010-02-24,0.18360235160145522,598
2010-02-25,0.0493556456305695,599
2010-02-26,-0.1253671604574035,599
2010-03-01,-0.10670262380041337,602
2010-03-02,-0.1906956863871478,599
2010-03-03,-0.015250299298267841,603
2010-03-04,-0.3562193051823569,605
2010-03-05,-0.25145967330530244,604
2010-03-08,0.1949606516010837,597
2010-03-09,-0.10573726484363807,600
2010-03-10,0.18324920700605027,602
2010-03-11,-0.25758449802786726,611
2010-03-12,0.21217377615601365,612
2010-03-15,-0.021946676725722404,610
2010-03-16,-0.1621590471225822,601
2010-03-17,0.02388170680875224,607
2010-03-18,0.06557957461324081,609
2010-03-19,0.11567970808954466,608
2010-03-22,-0.007018584328925929,615
2010-03-23,0.18105118726867414,613
2010-03-24,-0.15673940311171006,612
2010-03-25,-0.2030195218090078,616
2010-03-26,-0.09593130640708249,616
2010-03-29,-0.0727597504564081,617
2010-03-30,-0.00461297681164764,617
2010-03-31,-0.2780502385592425,602
2010-04-01,-0.311224719134321,605
2010-04-05,0.1332295723542402,608
2010-04-06,0.06635768405301569,608
2010-04-07,0.3008530380529353,608
2010-04-08,-0.10737288397508189,613
2010-04-09,-0.17209626808531966,622
2010-04-12,-0.03204073249625461,626
2010-04-13,-0.39695646284611397,618
2010-04-14,-0.013722510219612283,615
2010-04-15,0.06840810182942152,622
2010-04-16,0.12235460999216156,611
2010-04-19,0.10469778390952938,607
2010-04-20,-0.18754493208024936,597
2010-04-21,0.2802910659490919,603
2010-04-22,-0.08575407119041299,610
2010-04-23,-0.11116326995306029,611
2010-04-26,0.2023259440904346,600
2010-04-27,-0.11051983936335573,588
2010-04-28,-0.24363586813668678,601
2010-04-29,-0.017078056814770468,611
2010-04-30,-0.14988573048502812,628
2010-05-03,0.2651378731667379,629
2010-05-04,0.08813681885850727,625
2010-05-05,-0.168914762097131,636
2010-05-06,-0.10767647912035315,649
2010-05-07,0.10386118243186165,665
2010-05-10,0.26942554417070746,674
2010-05-11,0.032665378018756575,679
2010-05-12,0.0919878587572318,677
2010-05-13,0.39775142583888967,681
2010-05-14,-0.14397571685700225,683
2010-05-17,-0.2797876250802104,679
2010-05-18,0.14612542361471495,679
2010-05-19,-0.2091190040841583,677
2010-05-20,-0.3854513275843119,681
2010-05-21,0.011311542394348598,671
2010-05-24,0.17156098495618455,673
2010-05-25,0.4650815461207464,672
2010-05-26,-0.49398906348750615,673
2010-05-27,0.11939263233779475,677
2010-05-28,0.3191706466961418,686
2010-06-01,0.07102803976239214,681
2010-06-02,-0.06984313079434751,676
2010-06-03,0.5112969416551362,682
2010-06-04,0.1399477980973991,677
2010-06-07,-0.2231832385771127,662
2010-06-08,-0.2176915836297832,655
2010-06-09,-0.4839042395355,654
2010-06-10,0.4353078329339371,658
2010-06-11,-0.22643361700885403,662
2010-06-14,-0.3492585038933472,663
2010-06-15,0.31688141948149084,660
2010-06-16,-0.2565552480843388,656
2010-06-17,-0.16380425813898555,659
2010-06-18,-0.5168112779247468,656
2010-06-21,-0.0965339764627868,649
2010-06-22,-0.038933847043651756,639
2010-06-23,0.22409575407386959,632
2010-06-24,-0.10679856050474222,632
2010-06-25,0.04782097340564136,627
2010-06-28,0.3152923619773352,635
2010-06-29,-0.04037319287639302,634
2010-06-30,-0.10248530987139148,627
2010-07-01,-0.1238732327370751,625
2010-07-02,-0.30541485447576383,634
2010-07-06,-0.1458610096839591,626
2010-07-07,-0.32461118956966056,628
2010-07-08,0.21327090786986305,628
2010-07-09,0.0936968415573126,625
2010-07-12,-0.5810372671564932,618
2010-07-13,0.15211677673530843,618
2010-07-14,-0.06634738468530406,614
2010-07-15,0.3534697617167593,613
2010-07-16,0.09108307475707322,607
2010-07-19,0.3218780539862185,601
2010-07-20,0.1512901973029852,589
2010-07-21,-0.484561816420487,585
2010-07-22,0.16030893689325806,594
2010-07-23,-0.15793352441100444,596
2010-07-26,-0.37488142082199494,595
2010-07-27,0.2535545639359815,568
2010-07-28,-0.2518476203337849,570
2010-07-29,0.5386064153016986,578
2010-07-30,-0.2651635204378332,582
2010-08-02,0.16576192976822343,581
2010-08-03,-0.22716429118814968,575
2010-08-04,0.2765921264478914,590
2010-08-05,0.27934096858029644,593
2010-08-06,-0.1232764986996371,607
2010-08-09,0.41155931280504626,612
2010-08-10,0.07401137238834024,615
2010-08-11,-0.07113565772461268,616
2010-08-12,-0.03862484584733635,613
2010-08-13,-0.03269375019669617,616
2010-08-16,0.1520018396287982,612
2010-08-17,-0.012191724294535468,613
2010-08-18,0.07153119516190684,612
2010-08-19,0.007790639364200439,611
