window,start,end,net_return,net_sharpe,max_drawdown,avg_gross_exposure
late_2018,2018-10-01,2018-12-31,-0.00947014502820398,-2.09302392235408,-0.01079164681687872,0.3089010174893397
covid_q1_2020,2020-01-01,2020-03-31,-0.024527558137645733,-0.7434557562297447,-0.0677389747445688,0.5499453672701468
drawdown_2022,2022-01-01,2022-12-31,-0.07159196176358806,-0.7881061717166212,-0.13358783803435137,0.9363856718827656
